radius,density,mass,gravity
2376.415,11.3164,6.667733295796223e+23,7.880238715329659
2389.247,11.303690000000001,6.771284720968317e+23,7.916891635116326
2402.08,11.29091,6.875844676661447e+23,7.953473651839084
2414.912,11.27804,6.981399591514011e+23,7.989978317392006
2427.744,11.26509,7.087960201932776e+23,8.026407685678006
2440.577,11.25206,7.195537569007648e+23,8.06276385792449
2453.409,11.23895,7.304117516467431e+23,8.099040439405234
2466.241,11.225760000000001,7.413710927148908e+23,8.13523953755337
2479.074,11.212489999999999,7.524328964437687e+23,8.17136325200971
2491.906,11.19914,7.635956842222713e+23,8.207405240276406
2504.739,11.1857,7.748614316560943e+23,8.24337035868236
2517.571,11.17218,7.86228613970712e+23,8.279252246315076
2530.403,11.15858,7.976983358239629e+23,8.31505300624444
2543.236,11.1449,8.092717302568351e+23,8.350774732163883
2556.068,11.131129999999999,8.209472103052605e+23,8.386411115265162
2568.901,11.117280000000001,8.327268076035455e+23,8.421966973031928
2581.733,11.10334,8.446088932829251e+23,8.457436031965887
2594.565,11.089319999999999,8.565945826739726e+23,8.492820332591414
2607.398,11.07522,8.68685025077006e+23,8.528121958676472
2620.23,11.06103,8.808785284309479e+23,8.56333468898945
2633.063,11.04676,8.931771804567414e+23,8.598463296436734
2645.895,11.032399999999999,9.05579246606608e+23,8.633501594925399
2658.727,11.017959999999999,9.180858576536536e+23,8.668451611857462
2671.56,11.00343,9.306981731405087e+23,8.703315362991322
2684.392,10.988809999999999,9.434143885939235e+23,8.738086661353199
2697.224,10.974110000000001,9.562356437276356e+23,8.77276752525839
2710.057,10.95932,9.6916310715777e+23,8.807359960598262
2722.889,10.944450000000002,9.821949154620781e+23,8.841857887171452
2735.722,10.92948,9.95333239879834e+23,8.876265942549427
2748.554,10.91443,1.008576167478185e+24,8.910578028666222
2761.386,10.899299999999998,1.0219248586571493e+24,8.944796199230598
2774.219,10.88407,1.0353804907302052e+24,8.978922386695217
2787.051,10.86876,1.0489410851119207e+24,9.012950546404916
2799.884,10.85336,1.0626088745950751e+24,9.046885312763186
2812.716,10.83787,1.0763818365515511e+24,9.080720676998954
2825.548,10.82229,1.0902611330025509e+24,9.1144585638688
2838.381,10.80662,1.1042479550427857e+24,9.14810088383444
2851.213,10.79086,1.1183402134695845e+24,9.181641682888012
2864.045,10.77501,1.132539078178985e+24,9.21508287190611
2876.878,10.759079999999999,1.1468457548531066e+24,9.248426400368928
2889.71,10.743049999999998,1.1612580874475666e+24,9.281666368828466
2902.543,10.72693,1.1757783833954917e+24,9.314807204296622
2915.375,10.710719999999998,1.1904044416903281e+24,9.34784304468114
2928.207,10.694420000000001,1.2051374449184853e+24,9.380775775124993
2941.04,10.678030000000001,1.2199786048924455e+24,9.413607264731544
2953.872,10.66154,1.234925646053027e+24,9.44633165344774
2966.705,10.644969999999999,1.2499809364552884e+24,9.478953354799158
2979.537,10.6283,1.2651421622112986e+24,9.511466600080933
2992.369,10.611540000000002,1.280410510689226e+24,9.54387319250698
3005.202,10.59469,1.2957872055883787e+24,9.57617497226188
3018.034,10.57774,1.3112698575185042e+24,9.608366173832923
3030.866,10.5607,1.32685966035403e+24,9.640448582661056
3043.699,10.543569999999999,1.3425578444872037e+24,9.672424020544357
3056.531,10.52634,1.358361951748169e+24,9.704286779662946
3069.364,10.50902,1.3742744274205455e+24,9.73604110400031
3082.196,10.491610000000001,1.3902927748805404e+24,9.767681378358343
3095.028,10.4741,1.4064181983027637e+24,9.799209356137306
3107.861,10.45649,1.4226519231512516e+24,9.830626718938323
3120.693,10.438790000000001,1.438991375855356e+24,9.861927856946775
3133.526,10.421,1.4554390609309914e+24,9.893116990967085
3146.358,10.4031,1.471992350655521e+24,9.924188496761948
3159.19,10.38512,1.4886524583267423e+24,9.955144094313743
3172.023,10.367030000000002,1.5054206262026767e+24,9.985985484417627
3184.855,10.34885,1.5222941565807017e+24,10.01670710316267
3197.688,10.33058,1.5392756045645168e+24,10.04731309096183
3210.52,10.3122,1.5563622257898776e+24,10.077797924153225
3223.352,10.29373,1.5735552334612632e+24,10.108163233075553
3236.185,10.27516,1.5908558778224473e+24,10.138410681960092
3249.017,10.2565,1.608261352609781e+24,10.16853486248474
3261.849,10.237729999999999,1.6257728752751962e+24,10.198537382314056
3274.682,10.21887,1.6433916917953537e+24,10.228419828851006
3287.514,10.1999,1.6611149169297932e+24,10.258176802529215
3300.347,10.18084,1.678945166570409e+24,10.287812200749446
3313.179,10.16168,1.6968795171510275e+24,10.3173207197583
3326.011,10.14242,1.7149191920781986e+24,10.346703928432396
3338.844,10.123059999999999,1.733065443066436e+24,10.375963374454475
3351.676,10.1036,1.7513152670993494e+24,10.405093763908177
3364.509,10.084040000000002,1.7696713264070614e+24,10.434098904893949
3377.341,10.06438,1.788130570767451e+24,10.462973546443617
3390.173,10.04462,1.8066942283194958e+24,10.491719216643038
3403.006,10.02476,1.8253635552420846e+24,10.52033742147145
3415.838,10.004790000000002,1.8441354211187468e+24,10.548822921349712
3428.67,9.984729999999999,1.8630110562330217e+24,10.577177219160719
3441.503,9.964559999999999,1.8819917187207287e+24,10.60540179513087
3454.335,9.94429,1.9010742070016625e+24,10.633491475796625
3467.168,9.92391,1.9202612440872616e+24,10.661449866329662
3480.0,9.90344,1.9395495905129898e+24,10.689271891895268
3480.0,5.56646,1.9395495905129898e+24,10.689271891895268
3493.636,5.55962,1.951139182618959e+24,10.669367291835636
3507.273,5.55279,1.9628061071506697e+24,10.649862003620937
